Date,Open,High,Low,Close,Adj Close,Volume,macd,sig,hist,buy_price,sell_price,trigger_signal,position,holding,cash_holding,holding_value,market_value,portfolio_value,daily_return,cumulative_ret
2020-12-30,61.20,61.45,57.95,58.80,58.49,13006866,3.42,2.66,0.76,,,0.00,1.00,2000.00,10000.00,117600.00,0.00,127600.00,-0.03,0.28
2020-12-31,59.80,59.80,59.80,59.80,59.49,0,3.48,2.83,0.66,,,0.00,1.00,2000.00,10000.00,119600.00,0.00,129600.00,0.02,0.30
2021-01-04,60.25,68.55,60.20,67.50,67.15,24297570,4.11,3.08,1.02,,,0.00,1.00,2000.00,10000.00,135000.00,0.00,145000.00,0.12,0.45
2021-01-05,67.50,69.85,66.65,68.85,68.49,16477765,4.66,3.40,1.26,,,0.00,1.00,2000.00,10000.00,137700.00,0.00,147700.00,0.02,0.48
2021-01-06,69.35,69.50,64.05,64.80,64.46,29278041,4.71,3.66,1.05,,,0.00,1.00,2000.00,10000.00,129600.01,0.00,139600.01,-0.05,0.40
2021-01-07,64.20,64.20,57.45,60.20,59.88,66632291,4.33,3.80,0.54,,,0.00,1.00,2000.00,10000.00,120400.00,0.00,130400.00,-0.07,0.30
2021-01-08,59.90,64.45,59.55,60.80,60.48,42940081,4.03,3.84,0.19,,,0.00,1.00,2000.00,10000.00,121600.00,0.00,131600.00,0.01,0.32
2021-01-11,61.50,66.30,61.25,63.90,63.57,35629017,4.00,3.87,0.13,,,0.00,1.00,2000.00,10000.00,127800.00,0.00,137800.00,0.05,0.38
2021-01-12,64.05,64.50,61.55,63.25,62.92,28352321,3.88,3.88,0.00,,,0.00,1.00,2000.00,10000.00,126500.00,0.00,136500.00,-0.01,0.36
2021-01-13,63.85,68.20,63.65,65.95,65.60,25303502,3.96,3.89,0.06,,,0.00,1.00,2000.00,10000.00,131899.99,0.00,141899.99,0.04,0.42
2021-01-14,67.00,69.45,66.05,67.50,67.15,24323617,4.09,3.93,0.16,,,0.00,1.00,2000.00,10000.00,135000.00,0.00,145000.00,0.02,0.45
2021-01-15,67.60,73.35,67.00,73.00,72.62,36680029,4.59,4.06,0.53,,,0.00,1.00,2000.00,10000.00,146000.00,0.00,156000.00,0.08,0.56
2021-01-18,74.80,77.35,70.80,71.65,71.28,51266298,4.82,4.22,0.61,,,0.00,1.00,2000.00,10000.00,143300.00,0.00,153300.00,-0.02,0.53
2021-01-19,72.95,77.90,72.95,75.15,74.76,29505908,5.23,4.42,0.81,,,0.00,1.00,2000.00,10000.00,150300.00,0.00,160300.00,0.05,0.60
2021-01-20,77.20,77.40,72.30,75.00,74.61,21599746,5.48,4.63,0.85,,,0.00,1.00,2000.00,10000.00,150000.00,0.00,160000.00,-0.00,0.60
2021-01-21,76.00,81.55,75.05,78.45,78.04,27964015,5.88,4.88,1.00,,,0.00,1.00,2000.00,10000.00,156899.99,0.00,166899.99,0.04,0.67
2021-01-22,83.70,85.35,78.90,84.50,84.06,33526358,6.61,5.23,1.39,,,0.00,1.00,2000.00,10000.00,169000.00,0.00,179000.00,0.07,0.79
2021-01-25,90.00,90.00,81.10,81.75,81.32,46166962,6.89,5.56,1.33,,,0.00,1.00,2000.00,10000.00,163500.00,0.00,173500.00,-0.03,0.73
2021-01-26,81.90,85.50,78.65,80.00,79.58,29275701,6.90,5.83,1.07,,,0.00,1.00,2000.00,10000.00,160000.00,0.00,170000.00,-0.02,0.70
2021-01-27,79.00,83.55,74.65,80.00,79.58,31334542,6.82,6.03,0.79,,,0.00,1.00,2000.00,10000.00,160000.00,0.00,170000.00,0.00,0.70
2021-01-28,76.20,81.65,74.20,74.80,74.41,143679682,6.26,6.07,0.19,,,0.00,1.00,2000.00,10000.00,149600.01,0.00,159600.01,-0.06,0.60
2021-01-29,76.50,80.90,76.10,76.75,76.35,34558384,5.92,6.04,-0.13,,,-1.00,1.00,2000.00,10000.00,153500.00,0.00,163500.00,0.02,0.63
2021-02-01,76.45,76.55,72.30,74.25,73.86,37180113,5.37,5.91,-0.53,,76.45,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,-0.00,0.63
2021-02-02,76.00,82.00,75.90,79.50,79.08,32324393,5.31,5.79,-0.48,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-03,80.30,82.40,79.00,80.10,79.68,17099173,5.24,5.68,-0.44,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-04,81.00,81.15,75.35,78.50,78.09,23236924,5.01,5.55,-0.54,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-05,78.00,80.95,75.40,76.50,76.10,21123340,4.60,5.36,-0.75,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-08,76.50,76.85,68.50,73.40,73.02,53199069,3.99,5.08,-1.09,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-09,72.00,76.60,71.50,76.50,76.10,12422647,3.71,4.81,-1.10,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-10,77.30,77.80,73.50,75.30,74.91,12158571,3.35,4.52,-1.17,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-11,75.35,75.35,75.35,75.35,74.96,0,3.04,4.22,-1.18,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
2021-02-16,76.80,77.50,75.00,76.30,75.90,9764883,2.83,3.94,-1.11,,,0.00,0.00,0.00,162899.99,0.00,0.00,162899.99,0.00,0.63
